Posição Inicial	Tamanho	Código da Variável	Descrição
370	1	V4072A	Principal providência tomada para conseguir trabalho
371	1	V4073	Gostaria de ter trabalhado na semana de referência?
372	2	V4074A	Motivo de não ter tomado providência para conseguir trabalho
374	1	V4075A	Conseguiu um novo trabalho?
375	2	V4075A1	Em quantos meses começará o novo trabalho?
377	1	V4076	Está sem trabalho e tentando conseguir há quanto tempo?
378	2	V40761	Tempo sem trabalho (em meses)
380	2	V40762	Tempo sem trabalho (de 1 a 11 anos)
382	2	V40763	Tempo sem trabalho (02 a 98 anos)
388	1	V5001A	Recebeu Benefício Assistencial (BPC-LOAS)?
389	8	V5001A2	Valor recebido pelo BPC-LOAS (em reais)
397	1	V5002A	Recebeu Bolsa Família?
398	8	V5002A2	Valor recebido pelo Bolsa Família (em reais)
406	1	V5003A	Recebeu outros programas sociais do governo?
407	8	V5003A2	Valor recebido de outros programas sociais (em reais)
415	1	V5004A	Recebeu aposentadoria ou pensão do INSS?
416	8	V5004A2	Valor recebido de aposentadoria ou pensão (em reais)
424	1	V5005A	Recebeu seguro-desemprego?
425	8	V5005A2	Valor recebido do seguro-desemprego (em reais)
433	1	V5006A	Recebeu pensão alimentícia, doação ou mesada?
434	8	V5006A2	Valor recebido de pensão alimentícia, doação ou mesada (em reais)
442	1	V5007A	Recebeu aluguel ou arrendamento?
443	8	V5007A2	Valor recebido de aluguel ou arrendamento (em reais)
451	1	V5008A	Recebeu outros rendimentos (bolsa de estudos, juros, etc.)?
452	8	V5008A2	Valor recebido de outros rendimentos (em reais)
460	1	S01001	Tipo do domicílio (1 - Casa, 2 - Apartamento, etc.)
461	1	S01002	Material predominante das paredes externas
462	1	S01003	Material predominante do telhado
463	1	S01004	Material predominante do piso
464	2	S01005	Quantidade de cômodos
466	2	S01006	Quantidade de dormitórios
468	1	S01007	Principal forma de abastecimento de água
470	1	S01008	O domicílio tem acesso à rede geral de distribuição de água?
